1.311586452762923405e-01,1.361853832442067903e-02,1.800356506238859344e-02,1.142602495543671923e-02,4.190730837789661406e-02,2.003565062388592069e-02,2.891265597147949992e-02,7.361853832442068202e-03,1.431372549019607754e-02,9.714795008912657098e-03,9.768270944741534040e-03,6.713190730837790277e-01,8.591800356506239592e-03,4.688057040998218523e-03,9.180035650623885948e-03
4.300411522633745820e-02,4.362139917695474073e-02,4.485596707818930579e-02,4.238683127572016873e-02,4.176954732510288620e-02,4.238683127572016873e-02,5.226337448559671695e-02,4.423868312757203020e-02,4.485596707818931272e-02,4.176954732510288620e-02,4.115226337448560368e-02,3.923868312757202159e-01,4.300411522633745126e-02,4.115226337448560368e-02,4.115226337448560368e-02
1.201204392490258510e-01,1.273467941905774038e-02,1.958908962097059836e-02,1.517888770811193222e-02,3.250088558271342631e-02,2.293659227771873560e-02,3.632660290471129844e-02,7.208643287283033121e-03,6.942968473255402631e-03,1.007793127878144068e-02,1.092809068366985478e-02,6.900460503010982238e-01,4.870704923839886541e-03,4.020545518951469839e-03,6.517888770811193846e-03
4.416666666666667351e-02,3.595238095238094400e-02,3.380952380952381015e-02,3.095238095238095344e-02,3.130952380952381486e-02,3.666666666666668073e-02,3.273809523809524669e-02,3.023809523809524100e-02,5.202380952380952772e-02,2.595238095238095941e-02,5.130952380952381875e-02,3.130952380952380792e-02,5.416666666666667546e-02,2.416666666666667657e-02,4.852380952380950241e-01
2.579075425790754855e-02,2.652068126520681218e-02,2.542579075425791674e-02,2.506082725060828145e-02,2.542579075425791674e-02,2.469586374695864617e-02,2.469586374695864617e-02,2.542579075425791674e-02,2.798053527980535332e-02,2.506082725060828145e-02,2.615571776155718384e-02,2.579075425790754855e-02,2.542579075425791674e-02,2.433090024330900741e-02,6.422141119221411731e-01
2.506082725060828145e-02,2.506082725060828145e-02,2.506082725060828145e-02,2.433090024330900741e-02,2.506082725060828145e-02,2.469586374695864270e-02,2.506082725060828145e-02,2.506082725060827451e-02,2.907542579075424877e-02,2.579075425790754855e-02,2.433090024330900741e-02,2.688564476885644747e-02,2.615571776155718384e-02,2.469586374695864617e-02,6.436739659367396449e-01
2.620865139949109593e-02,2.811704834605598460e-02,2.620865139949109593e-02,2.544529262086513838e-02,2.544529262086513838e-02,2.582697201017811889e-02,2.620865139949109593e-02,2.735368956743002705e-02,3.193384223918575848e-02,2.582697201017811889e-02,2.620865139949109593e-02,2.544529262086513838e-02,2.735368956743002705e-02,2.544529262086513838e-02,6.269720101781169896e-01
6.684334511189635002e-03,5.977620730270907443e-03,6.242638398115429518e-03,6.154299175500589116e-03,6.330977620730271656e-03,6.419316843345112059e-03,6.242638398115429518e-03,6.419316843345112059e-03,6.242638398115430386e-03,6.242638398115429518e-03,6.154299175500589116e-03,6.242638398115429518e-03,6.330977620730271656e-03,9.122497055359245488e-01,6.065959952885747845e-03
6.708037825059102663e-03,5.998817966903072403e-03,6.176122931442079751e-03,6.176122931442079751e-03,6.087470449172576077e-03,7.417257683215132055e-03,6.530732860520094447e-03,7.062647754137117359e-03,6.176122931442079751e-03,6.442080378250590773e-03,6.796690307328605470e-03,6.353427895981087099e-03,6.264775413711583425e-03,9.098995271867613699e-01,5.910165484633568729e-03
8.142940831868778276e-03,6.385471587580552125e-03,6.649091974223785180e-03,6.121851200937317335e-03,6.912712360867019970e-03,6.297598125366139950e-03,6.736965436438195620e-03,6.649091974223785180e-03,6.297598125366139950e-03,8.230814294083187849e-03,6.736965436438197355e-03,6.385471587580552125e-03,6.209724663151728642e-03,9.063854715875804269e-01,5.858230814294083412e-03
1.515151515151514847e-02,1.537878787878787720e-02,1.515151515151514847e-02,1.515151515151514847e-02,1.583333333333333467e-02,1.515151515151514847e-02,1.583333333333333121e-02,1.606060606060605994e-02,1.515151515151514847e-02,1.810606060606060469e-02,1.515151515151514847e-02,1.583333333333333121e-02,1.515151515151514847e-02,7.817424242424242387e-01,1.515151515151514847e-02
